term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.1897	0.0488	0.0275	0.0061	0.0887	0.1064	0.7707	0.4013
tf	False	False	cosine	3,3,4,1	0.2050	0.0601	0.0312	0.0058	0.0988	0.1150	0.7593	0.4032
tf	False	False	cosine	1,1,1,4	0.1218	0.0369	0.0218	0.0061	0.0602	0.0783	0.7511	0.3604
tf	False	False	jaccard	1,1,1,1	0.1440	0.0523	0.0325	0.0093	0.0763	0.0894	0.7501	0.3784
tf	False	False	jaccard	3,3,4,1	0.1014	0.0323	0.0197	0.0074	0.0511	0.0682	0.6831	0.3016
tf	False	False	jaccard	1,1,1,4	0.1738	0.0608	0.0345	0.0101	0.0897	0.1012	0.7716	0.4141
tf	False	False	dice	1,1,1,1	0.1296	0.0401	0.0232	0.0064	0.0643	0.0793	0.7620	0.3650
tf	False	False	dice	3,3,4,1	0.1587	0.0580	0.0237	0.0061	0.0801	0.0939	0.7512	0.3673
tf	False	False	dice	1,1,1,4	0.1193	0.0356	0.0212	0.0060	0.0587	0.0752	0.7663	0.3578
tf	False	False	overlap	1,1,1,1	0.1270	0.0477	0.0235	0.0060	0.0661	0.0817	0.7605	0.3659
tf	False	False	overlap	3,3,4,1	0.1874	0.0757	0.0271	0.0065	0.0968	0.1091	0.7719	0.3979
tf	False	False	overlap	1,1,1,4	0.1069	0.0357	0.0220	0.0060	0.0548	0.0709	0.7472	0.3392
tf	False	True	cosine	1,1,1,1	0.2468	0.0877	0.0421	0.0079	0.1255	0.1367	0.8012	0.4674
tf	False	True	cosine	3,3,4,1	0.2385	0.0893	0.0461	0.0074	0.1247	0.1401	0.7841	0.4512
tf	False	True	cosine	1,1,1,4	0.1953	0.0659	0.0358	0.0082	0.0990	0.1121	0.7895	0.4392
tf	False	True	jaccard	1,1,1,1	0.1526	0.0607	0.0384	0.0092	0.0839	0.0975	0.7602	0.3954
tf	False	True	jaccard	3,3,4,1	0.1099	0.0397	0.0276	0.0078	0.0591	0.0763	0.6943	0.3342
tf	False	True	jaccard	1,1,1,4	0.1811	0.0755	0.0510	0.0135	0.1026	0.1141	0.7982	0.4560
tf	False	True	dice	1,1,1,1	0.1665	0.0719	0.0342	0.0093	0.0909	0.1042	0.7907	0.4281
tf	False	True	dice	3,3,4,1	0.1755	0.0724	0.0370	0.0081	0.0949	0.1061	0.7700	0.4095
tf	False	True	dice	1,1,1,4	0.1898	0.0737	0.0364	0.0095	0.1000	0.1109	0.8006	0.4445
tf	False	True	overlap	1,1,1,1	0.1839	0.0856	0.0374	0.0080	0.1023	0.1130	0.7896	0.4342
tf	False	True	overlap	3,3,4,1	0.2135	0.0989	0.0473	0.0090	0.1199	0.1283	0.7838	0.4378
tf	False	True	overlap	1,1,1,4	0.1502	0.0583	0.0325	0.0076	0.0803	0.0939	0.7802	0.4098
tf	True	False	cosine	1,1,1,1	0.2155	0.0948	0.0549	0.0088	0.1217	0.1334	0.8161	0.4590
tf	True	False	cosine	3,3,4,1	0.2174	0.0858	0.0375	0.0080	0.1136	0.1295	0.8064	0.4457
tf	True	False	cosine	1,1,1,4	0.1730	0.0707	0.0372	0.0090	0.0936	0.1084	0.7916	0.4234
tf	True	False	jaccard	1,1,1,1	0.1185	0.0450	0.0253	0.0078	0.0629	0.0779	0.7609	0.3615
tf	True	False	jaccard	3,3,4,1	0.0897	0.0267	0.0166	0.0065	0.0443	0.0629	0.6718	0.2780
tf	True	False	jaccard	1,1,1,4	0.1549	0.0524	0.0324	0.0090	0.0799	0.0940	0.7925	0.4121
tf	True	False	dice	1,1,1,1	0.1669	0.0750	0.0284	0.0078	0.0901	0.0991	0.8038	0.4076
