query_id	term	stem	removestop	sim	termweights	rank	retrieved_docID	title	relevant?
6	tfidf	True	True	cosine	3,3,4,1	1	1543	computer formulation of the equations of motion using tensor notation	True
6	tfidf	True	True	cosine	3,3,4,1	2	2078	representations for space planning	True
6	tfidf	True	True	cosine	3,3,4,1	3	136	a note on the calculation of interest	False
6	tfidf	True	True	cosine	3,3,4,1	4	2828	hierarchical geometric models for visible surface algorithms	True
6	tfidf	True	True	cosine	3,3,4,1	5	356	interest ( algorithm 45 )	False
6	tfidf	True	True	cosine	3,3,4,1	6	740	interest ( algorithm 45 )	False
6	tfidf	True	True	cosine	3,3,4,1	7	242	notes on geometric weighted check digit verification	False
6	tfidf	True	True	cosine	3,3,4,1	8	2389	preliminary report on a system for general space planning	False
6	tfidf	True	True	cosine	3,3,4,1	9	1186	recursive solution of a class of combinatorial problems : an example	False
6	tfidf	True	True	cosine	3,3,4,1	10	1398	robot data screening : a solution to multivariate type problems in the biological and social sciences	False
6	tfidf	True	True	cosine	3,3,4,1	11	3035	a strategic planning methodology for the computing effort in higher education : an empirical evaluation	False
6	tfidf	True	True	cosine	3,3,4,1	12	2671	a note on a combinatorial problem of burnett and coffman	False
6	tfidf	True	True	cosine	3,3,4,1	13	1009	solution of combinatorial problems using generating functions on a variable-field computer	False
6	tfidf	True	True	cosine	3,3,4,1	14	2230	a language for treating geometric patterns in a two-dimensional space	False
6	tfidf	True	True	cosine	3,3,4,1	15	1755	proceedings of the acm symposium on operating system principles	False
6	tfidf	True	True	cosine	3,3,4,1	16	2826	interactive skeleton techniques for enhancing motion dynamics in key frame animation	False
6	tfidf	True	True	cosine	3,3,4,1	17	2187	computer science : a conceptual framework for curriculum planning	False
6	tfidf	True	True	cosine	3,3,4,1	18	2753	a heuristic problem solving design system for equipment or furniture layouts	False
6	tfidf	True	True	cosine	3,3,4,1	19	705	combinatorial of m things taken n at a time ( algorithm 160 )	False
6	tfidf	True	True	cosine	3,3,4,1	20	1517	methods for analyzing data from computer simulation experiments	False
9	tfidf	True	True	cosine	3,3,4,1	1	1685	gan , a system for generating and analyzing activity networks	False
9	tfidf	True	True	cosine	3,3,4,1	2	2949	a correctness proof of a topology information main tenance protocol for a distributed computer network	False
9	tfidf	True	True	cosine	3,3,4,1	3	3158	secure personal computing in an insecure network	True
9	tfidf	True	True	cosine	3,3,4,1	4	2197	the merit of regional computing networks	False
9	tfidf	True	True	cosine	3,3,4,1	5	2776	computer networks in higher education : socio-economic-political factors	False
9	tfidf	True	True	cosine	3,3,4,1	6	2614	arrow to precedence network transformation [ h ] ( algorithm a481 )	False
9	tfidf	True	True	cosine	3,3,4,1	7	2951	dynamic response time prediction for computer networks	False
9	tfidf	True	True	cosine	3,3,4,1	8	3111	secure communications over insecure channels	True
9	tfidf	True	True	cosine	3,3,4,1	9	3068	a model for verification of data security in operating systems	True
9	tfidf	True	True	cosine	3,3,4,1	10	2969	optimal program and data locations in computer networks	False
9	tfidf	True	True	cosine	3,3,4,1	11	1695	plexus-an on-line system for modeling neural networks	False
9	tfidf	True	True	cosine	3,3,4,1	12	2864	characteristics of program localities	False
9	tfidf	True	True	cosine	3,3,4,1	13	1261	modeling and simulation of digital networks	False
9	tfidf	True	True	cosine	3,3,4,1	14	2372	on the implementation of security measures in information systems	True
9	tfidf	True	True	cosine	3,3,4,1	15	1723	computer construction of project networks	False
9	tfidf	True	True	cosine	3,3,4,1	16	2515	minimal event-node network of project precedence relations	False
9	tfidf	True	True	cosine	3,3,4,1	17	2454	computational algorithms for closed queueing networks with exponential servers	False
9	tfidf	True	True	cosine	3,3,4,1	18	2371	a system for interprocess communication in a resource sharing computer network	False
9	tfidf	True	True	cosine	3,3,4,1	19	2870	a lattice model of secure information flow	True
9	tfidf	True	True	cosine	3,3,4,1	20	1611	scheduling project networks	False
22	tfidf	True	True	cosine	3,3,4,1	1	266	fitting spheres by the method of least squares	False
22	tfidf	True	True	cosine	3,3,4,1	2	2473	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	True	True	cosine	3,3,4,1	3	2384	hidden-line plotting program [ j6 ] ( algorithm a420 )	True
22	tfidf	True	True	cosine	3,3,4,1	4	2441	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	True	True	cosine	3,3,4,1	5	2638	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	True	True	cosine	3,3,4,1	6	2564	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	True	True	cosine	3,3,4,1	7	2637	hidden-line plotting program ( algorithm r420 )	True
22	tfidf	True	True	cosine	3,3,4,1	8	2913	the aliasing problem in computer-generated shaded images	False
22	tfidf	True	True	cosine	3,3,4,1	9	3049	a simply extended and modified batch environment graphical system ( sembegs )	False
22	tfidf	True	True	cosine	3,3,4,1	10	87	a note on a method for generating points uniformly on n-dimensional spheres	False
22	tfidf	True	True	cosine	3,3,4,1	11	122	least squares fitting of a great circle through points on a sphere	False
22	tfidf	True	True	cosine	3,3,4,1	12	52	an efficient method for generating uniformly distributed points on the surface on an n-dimensional sphere ( corrigendum )	False
22	tfidf	True	True	cosine	3,3,4,1	13	1829	an interactive graphical display monitor in a batch-processing environment with remote entry	False
22	tfidf	True	True	cosine	3,3,4,1	14	2809	positivity and norms	False
22	tfidf	True	True	cosine	3,3,4,1	15	88	an efficient method for generating uniformly distributed points on the surface of an n-dimensional sphere	False
22	tfidf	True	True	cosine	3,3,4,1	16	1978	the use of interactive graphics to solve numerical problems	False
22	tfidf	True	True	cosine	3,3,4,1	17	2105	an interactive computer system using graphical flowchart input	False
22	tfidf	True	True	cosine	3,3,4,1	18	1467	a graphical servicesystem with variable syntax	False
22	tfidf	True	True	cosine	3,3,4,1	19	1466	discussion summary on graphical languages	False
22	tfidf	True	True	cosine	3,3,4,1	20	1767	a general purpose graphic language	False
