1	2	Well: Think Like a Doctor: The Baby Who Wonâ€™t Eat Solved!
2	1	Too Little Sleep Tied to Stroke Risk
3	2	But I also have no doubt that while this goes on in Africa, weâ€™ll need to be on our guard, doctor
4	1	Looking to Lose Weight? Get a 'Coach'
5	1	Report Slams Makers of Sugary Drinks for Targeting Kids
6	2	Matter: As Ebola Spreads, So Have Several Fallacies
7	1	Life Transitions May Trigger Eating Disorders
8	1	Obesity Linked to Worse Outcomes With Early Breast Cancer
9	1	Risk for COPD Higher Than Thought: Study
10	1	Many Use ER for Routine Follow-Up Care After Hospital Discharge
11	2	Well: Living With Cancer: The Cost of Trials
12	1	Short Delay in Treating Blood Pressure Safe for Diabetics: Study
13	2	Alex Torres Stands Alone Wearing Safer Isoblox Hat
14	1	C-Sections Might Put Preemies at Risk for Breathing Problems
15	1	Stop-Smoking Drug May Also Curb Problem Drinking
16	2	Are children more likely to gain weight over the summer? @anahadoconnor explains.
17	1	Diet Might Have Some Effect on ADHD
18	2	The New Old Age Blog: California Court Limits Caregiver Suits
19	2	The C.D.C. says â€œmoon suitsâ€ for Ebola are not necessary.
20	1	Medical Marijuana Dispensaries Don't Boost Local Crime: Study
21	2	Your question answered: Does yoga build strength?
22	2	RT @paula_span: Does your employer offer back-up eldercare? Hundreds do, and more are signing up.
23	2	Sometimes a nearby cupcake can be more problematic than nearby crack.
24	1	Saw Palmetto Doesn't Help Enlarged Prostate: Study
25	1	Too Few Doctors Screen Young Athletes for Hidden Heart Trouble
26	1	Questionnaire Could Help Predict Alzheimer's: Study
27	1	Older Women Can Benefit From Sex Ed Campaigns
28	2	Number of Americans Without Health Insurance Falls, Survey Shows
29	2	The New Old Age Blog: Extra Scrutiny for Hospices
30	2	RT @cslnyt: Just how little fluoride toothpaste does a toddler need? See a smear here http://nyti.ms/1grP6ei
31	1	Healthy Diet May Counteract Heart Disease Gene
32	1	Vitamin D Doesn't Help Kids Do Better in School, Study Finds
33	2	Health Officials Promise Extra Airport Screening for Ebola
34	1	42% of Americans Could Be Obese by 2030: CDC
35	2	Letters: Animals Are Patients Too
36	2	Here are ways to help in efforts to halt the Ebola outbreak &amp; aid those affected
37	2	Thoughts from a â€œtop dentist,â€ reflections on what fish are OK to eat and other letters from readers.
38	2	Investigators Detail Missteps in Verification for Health Care
39	2	Respiratory Virus Sickens Children in the Midwest
40	2	Global Health: A Simple Community Health Remedy in Mali
41	1	High Blood Pressure in Pregnancy May Threaten Kids' Heart Health
42	2	Well: Shivering as a Form of Exercise
43	2	RT @cslnyt: Intrigued by @ProfEmilyOster's advice that drinking is OK in pregnancy? Read my  @nytimesscience review.
44	2	Both Sides Cite Urgency in Court Appeal of a Texas Law on Abortion Clinics
45	2	Well: Colon Cancer Rates Rising in Younger People
46	2	A new study suggests that statins may block some of the benefits of exercise.  http://nyti.ms/16MyKuP
47	2	RT @ReedAbelson: C.D.C. Director Becomes Face of Nationâ€™s Worry and Flawed Response  http://nyti.ms/1u6WaRq Profile by @stavernise Like a
48	1	'Fecal Transplants' Show Promise for Gastrointestinal Ills
49	2	RT @heathertal: Parents must spend more than $500 on mandatory vaccine. Meanwhile manufacturer is making $4 billion. @nytrosenthal
50	2	RT @NYTMetro: After the Ebola briefing today, @BilldeBlasio rode the A train http://nyti.ms/1uR16KC (Photo: @joshhaner /NYT)
51	1	Role of Screening, Monitoring in Early Kidney Disease Unclear
52	2	RT @celiadugger: "Adult onset" type 2 diabetes up 30% in kids and type 1 up 21%, @cslnyt repts. Lifelong struggle ahead.
53	2	Pregnancy for Pay: Surrogates and Couples Face a Maze of Laws, State by State
54	1	Can Chewing Gum Boost Exam Scores?
55	2	Online Furor Draws Press to Abortion Doctorâ€™s Trial
56	1	Hurricane Irene Makes Landfall Over North Carolina
57	2	Well: â€˜If This Was Your Mother, Doctorâ€¦â€™
58	1	Grief Is a Real Heartbreaker, Study Finds
59	2	Economic View: An Economic Cure for Pandemics
60	2	Well: Stethoscopes as Germ Carriers
61	2	2 in Florida Said to Catch Fever Found in Tropics
62	2	The New Health Care: Can We Have a Fact-Based Conversation About End-of-Life Planning?
63	2	Well: Extra Care Curbs MRSA in Hospitals
64	2	RT @paula_span: What's propelling the supposed return of the multigenerational household?
65	2	Doha Journal: Too Hot to Exercise (and Who Really Wants To?)
66	1	Children Usually Excluded From Clinical Drug Trials: Study
67	2	Try this healthy salad with Middle Eastern accents (Photo: Andrew Scrivani for NYT) http://nyti.ms/1jOEpSq
68	2	Washington: Last Day for Surgeon General
