stemming	Position Weighting	Local Collocation Modelling	tank	plant	pers/place	smsspam	sent_imdb	sent_yelp	health	comment
unstemmed	#0-uniform	#1-bag-of-words	0.895	0.9225	0.8175	0.9606	0.78	0.7	0.8929	no stopwords removed
stemmed	#1-expndecay	#1-bag-of-words	0.915	0.9225	0.8425	0.9588	0.81	0.77	0.878	no stopwords removed
unstemmed	#1-expndecay	#1-bag-of-words	0.925	0.92	0.8425	0.9606	0.78	0.7	0.8929	no stopwords removed
unstemmed	#1-expndecay	#2-adjacent-separate-LR	0.8625	0.8325	0.8125	0.9606	0.78	0.7	0.8929	no stopwords removed
unstemmed	#2-stepped	#1-bag-of-words	0.9175	0.9225	0.85	0.9606	0.78	0.7	0.8929	no stopwords removed
unstemmed	#3-custom	#1-bag-of-words	0.915	0.91	0.8475	0.9606	0.78	0.7	0.8929	no stopwords removed
unstemmed	#0-uniform	#1-bag-of-words	0.9125	0.92	0.7925	0.9409	0.8	0.73	0.8494	stopwords removed
stemmed	#1-expndecay	#1-bag-of-words	0.9325	0.91	0.8375	0.9444	0.82	0.73	0.842	stopwords removed
unstemmed	#1-expndecay	#1-bag-of-words	0.9425	0.92	0.825	0.9409	0.8	0.73	0.8494	stopwords removed
unstemmed	#1-expndecay	#2-adjacent-separate-LR	0.8725	0.845	0.795	0.9409	0.8	0.73	0.8494	stopwords removed
unstemmed	#2-stepped	#1-bag-of-words	0.9475	0.925	0.8275	0.9409	0.8	0.73	0.8494	stopwords removed
unstemmed	#3-custom	#1-bag-of-words	0.94	0.915	0.8225	0.9409	0.8	0.73	0.8494	stopwords removed
stemmed	#1-expndecay	#1-bag-of-words	0.9225	0.9475	0.8425	0.9659	0.83	0.66	0.7943	bayes
