('http://www.cs.jhu.edu', 'Department of Computer Science')
('http://www.jhu.edu', 'Johns Hopkins University')
('http://www.clsp.jhu.edu', 'Center for Language and Speech Processing')
('http://www.cis.upenn.edu/', 'University of Pennsylvania')
('http://www.cis.upenn.edu/', 'University of Pennsylvania')
('http://www.harvard.edu', 'Harvard University')
('http://www.cs.jhu.edu/~yarowsky/sigdat.html', 'SIGDAT')
('http://www.aclweb.org', 'The Association for Computational Linguistics')
('http://cljournal.org', '')
('http://mirror.aclweb.org/emnlp2013/', 'Conference on Empirical Methods in Natural Language Processing (EMNLP 2013)')
('http://mirror.aclweb.org/ijcnlp11/', 'International Joint Conference on Natural Language Processing (IJCNLP 2011)')
('http://acl2014.org', '52nd Conference of the Association for Computational Linguistics (ACL 2014)')
('https://linguistlist.org/issues/13/13-332.html', 'HLT-2002, Conference on Human Language Technology')
('http://www.cs.ust.hk/acl2000/', 'ACL 2000')
('https://www.cs.cornell.edu/home/llee/emnlp.html', 'EMNLP 2001')
('https://aclweb.org/mirror/acl2003/', 'ACL 2003')
('http://www.cs.jhu.edu/~svitlana/workshop.html', 'ACL Joint Workshop on Social Dynamics and Personal Attributes in Social Media')
('http://www.cs.jhu.edu/~yarowsky/sigdat.html', '3rd Workshop on Very Large Corpora (WVLC3)')
('https://aclweb.org/aclwiki/ACL_Fellows', 'Association for Computational Linguistics')
('http://www.cs.jhu.edu/~yarowsky/pubs.html', 'Publications')
('http://www.cs.jhu.edu/~yarowsky/cs466.html', '600.466 - Information Retrieval and Web Agents')
('http://www.cs.jhu.edu/~yarowsky/cs415.html', '601.315/415/615 - Databases')
